Sample	taxa	abundance
0415-5	p__Firmicutes	90.15877
0415-5	p__Actinobacteria	9.58353
0415-5	p__Proteobacteria	0.2577
0415-5FF	p__Firmicutes	90.05201
0415-5FF	p__Actinobacteria	8.36634
0415-5FF	p__Proteobacteria	1.58165
0433-1FF	p__Firmicutes	74.63213
0433-1FF	p__Actinobacteria	23.246
0433-1FF	p__Proteobacteria	2.12187
0433-4	p__Firmicutes	56.20858
0433-4	p__Actinobacteria	43.6719
0433-4	p__Proteobacteria	0.11952
0433-4FF	p__Firmicutes	67.49986
0433-4FF	p__Actinobacteria	32.50014
0433-5	p__Actinobacteria	68.56315
0433-5	p__Firmicutes	31.20381
0433-5	p__Proteobacteria	0.23304
0433-5FF	p__Actinobacteria	52.56311
0433-5FF	p__Firmicutes	46.26586
0433-5FF	p__Bacteroidetes	0.90347
0433-5FF	p__Proteobacteria	0.26756
0451-1FF	p__Firmicutes	96.26385
0451-1FF	p__Actinobacteria	3.03894
0451-1FF	p__Verrucomicrobia	0.69721
0451-4	p__Firmicutes	70.95017
0451-4	p__Actinobacteria	28.30165
0451-4	p__Verrucomicrobia	0.7418
0451-4	p__Bacteroidetes	0.00638
0451-4FF	p__Firmicutes	68.00056
0451-4FF	p__Actinobacteria	30.54567
0451-4FF	p__Verrucomicrobia	1.44821
0451-4FF	p__Bacteroidetes	0.00556
0451-5	p__Firmicutes	86.48441
0451-5	p__Actinobacteria	8.254
0451-5	p__Verrucomicrobia	5.25588
0451-5	p__Bacteroidetes	0.00572
0451-5FF	p__Firmicutes	80.87938
0451-5FF	p__Actinobacteria	11.92858
0451-5FF	p__Verrucomicrobia	6.77778
0451-5FF	p__Bacteroidetes	0.41426
0479-1	p__Firmicutes	55.85593
0479-1	p__Actinobacteria	42.86687
0479-1	p__Proteobacteria	1.247
0479-1	p__Verrucomicrobia	0.01765
0479-1	p__Bacteroidetes	0.01256
0479-1FF	p__Firmicutes	83.57367
0479-1FF	p__Actinobacteria	13.36317
0479-1FF	p__Proteobacteria	2.73237
0479-1FF	p__Bacteroidetes	0.15483
0479-1FF	p__Verrucomicrobia	0.15483
0479-1FF	p__Ascomycota	0.02113
0479-4	p__Firmicutes	96.2915
0479-4	p__Actinobacteria	3.7085
0479-4FF	p__Firmicutes	97.28884
